symbol,half_spread,impact_$100K,total_$100K,depth_buy_$100K,impact_$375K,total_$375K,depth_buy_$375K,impact_$1M,total_$1M,depth_buy_$1M,impact_$5M,total_$5M,depth_buy_$5M,ac_impact_375K,vol_annual,adtv_weekly
ATOM,0.00027601435274637366,0.001169356846634671,0.001169356846634671,144358.11241,0.0034205307524959897,0.0034205307524959897,439923.54216,0.006505841864458151,0.006505841864458151,849104.00992,0.00688816173670657,0.00688816173670657,849104.00992,0.009115377724495432,0.7403014690913372,17176578.5032
AUCTION,0.00010587612493376873,0.0025106104126144026,0.0025106104126144026,33867.568459999995,0.0025106104126144026,0.0025106104126144026,33867.568459999995,0.0025106104126144026,0.0025106104126144026,33867.568459999995,0.0025106104126144026,0.0025106104126144026,33867.568459999995,0.02,1.6213060625971651,2500853.84779
AVA,0.00025400050800098806,0.00633518247951034,0.00633518247951034,33660.4021,0.00633518247951034,0.00633518247951034,33660.4021,0.00633518247951034,0.00633518247951034,33660.4021,0.00633518247951034,0.00633518247951034,33660.4021,0.02,0.7576750230806968,524399.36106
AVAX,5.4309455276229956e-05,0.00036393365568152957,0.00036393365568152957,116809.25600000001,0.001140041425048211,0.001140041425048211,329783.0240000001,0.001140041425048211,0.001140041425048211,329783.0240000001,0.001140041425048211,0.001140041425048211,329783.0240000001,0.0021565381037621893,0.47157416415296316,124524415.179
AVNT,0.00030075187969929847,0.004501296217204846,0.004501296217204846,112401.36009999999,0.006131846662844375,0.006131846662844375,131295.42609999998,0.006131846662844375,0.006131846662844375,131295.42609999998,0.006131846662844375,0.006131846662844375,131295.42609999998,0.02,0.9490315912692112,4171471.5376
AWE,0.00010019036168723636,0.0022620685277717385,0.0022620685277717385,17308.352420000003,0.0022620685277717385,0.0022620685277717385,17308.352420000003,0.0022620685277717385,0.0022620685277717385,17308.352420000003,0.0022620685277717385,0.0022620685277717385,17308.352420000003,0.02,1.6332540525197894,2386684.43957
AXL,0.00018241517694271423,0.0022692506488144813,0.0022692506488144813,26112.828849,0.0022692506488144813,0.0022692506488144813,26112.828849,0.0022692506488144813,0.0022692506488144813,26112.828849,0.0022692506488144813,0.0022692506488144813,26112.828849,0.02,0.8783605057015305,3827841.921831
AXS,0.00041373603640881753,0.00279399454386251,0.00279399454386251,133547.763,0.007938845527668482,0.007938845527668482,401204.05100000004,0.008646855368757214,0.008646855368757214,401204.05100000004,0.008646855368757214,0.008646855368757214,401204.05100000004,0.02,2.6711915782863254,19268418.708
B,0.00022366360993063966,0.006129801980305781,0.006129801980305781,20899.328400000002,0.006129801980305781,0.006129801980305781,20899.328400000002,0.006129801980305781,0.006129801980305781,20899.328400000002,0.006129801980305781,0.006129801980305781,20899.328400000002,0.02,1.3655470288689575,3356802.9506
B3,0.0008278145695363691,0.003910833038629814,0.003910833038629814,11057.142752099999,0.003910833038629814,0.003910833038629814,11057.142752099999,0.003910833038629814,0.003910833038629814,11057.142752099999,0.003910833038629814,0.003910833038629814,11057.142752099999,0.02,0.5945447251723136,436770.0518471
